GEOID,NAME,Total,Male: Total,Male: Under 5 years,Male: 5 to 9 years,Male: 10 to 14 years,Male: 15 to 17 years,Male: 18 and 19 years,Male: 20 years,Male: 21 years,Male: 22 to 24 years,Male: 25 to 29 years,Male: 30 to 34 years,Male: 35 to 39 years,Male: 40 to 44 years,Male: 45 to 49 years,Male: 50 to 54 years,Male: 55 to 59 years,Male: 60 and 61 years,Male: 62 to 64 years,Male: 65 and 66 years,Male: 67 to 69 years,Male: 70 to 74 years,Male: 75 to 79 years,Male: 80 to 84 years,Male: 85 years and over,Female: Total,Female: Under 5 years,Female: 5 to 9 years,Female: 10 to 14 years,Female: 15 to 17 years,Female: 18 and 19 years,Female: 20 years,Female: 21 years,Female: 22 to 24 years,Female: 25 to 29 years,Female: 30 to 34 years,Female: 35 to 39 years,Female: 40 to 44 years,Female: 45 to 49 years,Female: 50 to 54 years,Female: 55 to 59 years,Female: 60 and 61 years,Female: 62 to 64 years,Female: 65 and 66 years,Female: 67 to 69 years,Female: 70 to 74 years,Female: 75 to 79 years,Female: 80 to 84 years,Female: 85 years and over
09,Connecticut,2279232,1110024,43327,48782,56362,39223,27291,14516,14303,38253,63263,65453,62720,59548,66164,82810,96373,39265,55678,34199,44124,62016,43252,26332,26770,1169208,41238,46043,53820,36644,27566,14656,13640,35323,59378,64871,63156,60869,69044,86742,100592,41337,58727,36315,48282,71675,52791,36255,50244
10,Delaware,579851,280510,11425,12492,13874,8705,6158,3693,3718,9227,15697,16307,15964,14516,15561,18419,22384,9304,14172,9270,13071,19709,13269,7564,6011,299341,10669,12082,13179,8199,5997,3767,3533,8993,15499,16563,16125,15130,16059,19548,24621,10533,16116,10515,15000,22384,15383,9506,9940
11,District of Columbia,261771,128308,5727,3769,2723,1454,2812,2001,1807,7819,19070,19541,14592,9156,6933,6298,5831,2046,2815,1780,2524,3782,2834,1586,1408,133463,5457,3766,2739,1369,3823,3006,2568,11204,22591,19894,13529,8026,5839,5279,4697,1831,2608,1725,2661,4422,3068,1664,1697
12,Florida,11100503,5447001,203951,227257,248831,153226,108915,57345,56292,162234,284767,301129,297230,278822,308877,356692,432346,182012,268393,179061,258667,425676,307762,189059,158457,5653502,194341,215847,236373,143977,110600,56610,54239,155760,274088,293739,291794,275282,305696,358890,449579,194169,293605,198378,287724,465071,341883,219858,235999
13,Georgia,5362156,2638591,127574,141228,156445,98395,67932,37783,35443,98243,164048,167361,161808,157276,174226,185427,198880,76821,108103,68124,91225,139306,91921,52580,38442,2723565,121773,134198,147675,92535,66052,35797,35828,95974,161974,166183,163270,158138,174709,185592,201949,80107,115417,74102,103111,159032,110291,70550,69308
15,Hawaii,314365,168861,5549,5888,5370,3013,2395,2303,2118,8008,11950,11883,12293,10788,9999,10749,12537,5350,7984,5808,8325,12741,7309,3497,3004,145504,5441,5594,5172,2714,2202,1462,1508,4931,9572,10262,10283,8582,8037,8727,10394,4917,7608,5400,7461,10993,6664,3543,4037
16,Idaho,1450523,723444,40949,46969,50999,29985,18742,9419,9984,28385,44814,44009,46250,44651,41433,40720,45127,19143,28389,18720,26200,37507,25058,14662,11329,727079,39253,45199,47833,27870,19741,9624,9723,26321,41870,43177,45721,43548,40396,40923,47149,19914,30150,19820,27660,39230,27210,17126,17621
17,Illinois,7472751,3678148,174227,187821,202672,128989,85609,43598,42845,128546,233138,243708,241830,225359,226877,249308,284382,116192,165311,102066,136379,186326,123600,78381,70984,3794603,164488,178550,191421,121035,80664,41218,40933,124245,227288,238276,237601,222119,225401,251187,291558,120558,174000,108652,148518,212374,153031,108663,132823
18,Indiana,5121004,2526017,137310,150501,158263,96981,68894,34960,34288,93762,156320,156833,157481,152166,157384,163593,183587,73682,106627,66815,88297,121100,79377,48465,39331,2594987,129933,141782,149688,90896,65751,34653,33393,91325,153393,155984,156346,150383,155766,164291,189226,77262,112260,70722,96431,138397,97171,66459,73475
19,Iowa,2638201,1305619,69646,77641,82850,49169,35681,19184,17962,47297,78295,79811,83120,77315,73940,79821,92373,38728,56220,35972,49134,64851,42529,28527,25553,1332582,67173,73522,78331,46100,34495,18727,17291,44383,74819,78448,80773,75762,72918,79154,95355,40066,58250,37055,51372,71265,50851,38380,48092
20,Kansas,2122575,1050507,56410,62988,66143,39609,27991,15173,14401,38683,63350,66749,69466,62740,59745,62094,74257,30676,44893,28649,38704,52494,33885,21476,19931,1072068,53346,59910,63029,37158,26851,13938,13398,36429,60638,65252,67943,61342,59350,62701,76752,32503,47612,30613,41343,57354,40688,28590,35328
21,Kentucky,3664764,1796350,99681,107618,114323,68799,45889,24051,23106,65459,111479,110734,111568,111833,115755,118948,129820,51589,73566,46813,62583,88591,56273,33305,24567,1868414,93990,101763,108200,64845,45122,23785,23112,64874,110960,111810,113459,112646,116344,122102,137009,55092,80251,51258,69620,100934,69061,45686,46491
22,Louisiana,2596702,1277554,66583,72997,77514,46469,31169,15998,15817,44017,76400,82548,86331,79071,77021,82328,93371,38777,55014,35070,46627,65540,42612,26012,20268,1319148,64126,68980,73865,44058,30364,16175,15799,44252,76160,82481,86067,77029,76565,83236,96564,40087,57597,37217,50277,73433,52287,35328,37201
23,Maine,1228264,601361,25857,29448,32650,20248,14608,7394,6860,18462,33806,36864,35961,34009,36327,41006,47910,19886,29134,18962,25569,37062,23729,13852,11757,626903,25069,28137,30551,18800,13661,7042,6574,17911,33213,36866,36438,34597,37056,42769,50674,21292,31753,20273,28167,40253,27213,17990,20604
24,Maryland,2913782,1427455,65859,71454,76973,48659,32964,17432,17344,49110,87252,95556,91513,80624,83388,98938,116142,46357,65184,40234,53787,76928,51807,31415,28535,1486327,62256,67986,72944,46291,32128,16794,16265,46713,84774,94193,91920,81792,86940,103677,120012,48355,68535,43156,58844,86727,63179,41855,50991
25,Massachusetts,4748897,2300748,93826,102619,116032,77283,57790,31907,32010,90611,153942,152467,138113,126140,137171,164276,187535,75102,105850,65710,88277,125112,82059,49186,47730,2448149,88792,98228,109757,73375,58350,32436,32119,90579,153103,154095,141103,130246,143584,173284,196747,79931,114528,71894,98616,145621,101762,69701,90298
26,Michigan,7295651,3618882,173280,191385,205454,131657,93220,49599,49281,133277,227181,227836,219237,206783,217356,244295,278217,113716,165505,102536,138029,186757,124028,75386,64867,3676769,165507,181063,194651,123858,90009,48788,47228,125254,214251,218456,212554,202776,213268,243002,281818,117279,173140,108515,147107,206507,147199,99641,114898
27,Minnesota,4353880,2159790,108804,119895,126848,77466,50112,26619,25524,72855,131579,142241,147425,133586,126405,140071,166050,68035,95710,59285,79558,105885,70402,45096,40339,2194090,103721,113673,120756,73664,49272,25524,24932,70989,127287,138218,143384,128736,123717,140929,168354,69816,98703,61500,84126,115695,82508,58531,70055
